"Reference","DOI","DOI_PANGAEA","Included/Not included","Reason for non inclusion","Country/Region","Year"
"Zhang, H., Song, M., Wang, L., Zhang, A., Yang, X., Liu, Y. et al., 2021. Response of microbial communities on culturing plates of post-settlement sea cucumbers to seawater acidification and warming. Frontiers in Marine Science 8:802023","doi:10.3389/fmars.2021.802023","","Not included","No answer from authors","China","2021"
"Zhang, L., Wang, X., Zhang, W., Yin, X., Liu, Q., & Qiu, L., 2022. Impact of ocean acidification on physiology and microbiota in hepatopancreas of Pacific oyster Crassostrea gigas. Journal of Oceanology and Limnology 40:620-633","doi:10.1007/s00343-021-0462-x","","Not included","No answer from authors","China","2022"
"Zhang, S.-H., Yu, J., Ding, Q.-Y., Yang, G.-P., Gao, K.-S., Zhang, H.-H. et al., 2018. Effect of elevated pCO2 on trace gas production during an ocean acidification mesocosm experiment. Biogeosciences 15:6649-6658","doi:10.5194/bg-15-6649-2018","","Not included","No answer from authors","China","2018"
"Zhang, T., Li, X., Cao, R., Zhang, Q., Qu, Y., Wang, Q. et al., 2022. Interactive effects of ocean acidification, ocean warming, and diurnal temperature cycling on antioxidant responses and energy budgets in two sea urchins Strongylocentrotus intermedius and Tripneustes gratilla from different latitudes. Science of the Total Environment 824:153780","doi:10.1016/j.scitotenv.2022.153780","","Not included","No answer from authors","China","2022"
"Zhang, T., Qu, Y., Zhang, Q., Tang, J., Cao, R., Dong, Z. et al., 2021. Risks to the stability of coral reefs in the South China Sea: an integrated biomarker approach to assess the physiological responses of Trochus niloticus to ocean acidification and warming. Science of the Total Environment 782:146876","doi:10.1016/j.scitotenv.2021.146876","","Not included","No answer from authors","China","2021"
"Zhang, W., Shi, Y., He, L., Chen, X., Hu, F., Chen, Y. et al., 2022. Decreased salinity offsets the stimulation of elevated pCO2 on photosynthesis and synergistically inhibits the growth of juvenile sporophyte of Saccharina japonica (Laminariaceae, Phaeophyta). Plants 11:2978","doi:10.3390/plants11212978","","Not included","No answer from authors","China","2022"
"Zhang, W., Tang, X., Yang, Y., Zhang, X., & Zhang, X., 2020. Elevated pCO2 level affects the extracellular polymer metabolism of Phaeodactylum tricornutum. Frontiers in Microbiology 11:339","doi:10.3389/fmicb.2020.00339","","Not included","No answer from authors","China","2020"
"Zhang, X., Xu, D., Guan, Z., Wang, S., Zhang, Y., Wang, W. et al., 2020. Elevated CO2 concentrations promote growth and photosynthesis of the brown alga Saccharina japonica. Journal of Applied Phycology 32:1949-1959","doi:10.1007/s10811-020-02108-1","","Not included","No answer from authors","China","2020"
"Zhang, X., Xu, D., Han, W., Wang, Y., Fan, X., Loladze, I. et al., 2021. Elevated CO2 affects kelp nutrient quality: a case study of Saccharina japonica from CO2 -enriched coastal mesocosm systems. Journal of Phycology 57:379-391","doi:10.1111/jpy.13097","","Not included","No answer from authors","China","2021"
"Zhang, Y., Liu, Z., Song, X., Huang, S., Wang, L., & Song, L., 2019. The inhibition of ocean acidification on the formation of oyster calcified shell by regulating the expression of Cgchs1 and Cgchit4. Frontiers in Physiology 10:1034","doi:10.3389/fphys.2019.01034","","Not included","No answer from authors","China","2019"
"Zhang, Y., Liu, Z., Zong, Y., Zheng, Y., Li, Y., Han, Z. et al., 2020. The increased expression of an engrailed gene to sustain shell formation in response to ocean acidification. Frontiers in Physiology 11:1569","doi:10.3389/fphys.2020.530435","","Not included","No answer from authors","China","2020"
"Zhao, L., Liang, J., Liang, J., Liu, B., Deng, Y., Sun, X. et al., 2020. Experimental study of transgenerational effects, pH and predation risk on byssus production in a swiftly spreading invasive fouling Asian mussel, Musculista senhousia (Benson). Environmental Pollution 260:114111","doi:10.1016/j.envpol.2020.114111","","Not included","No answer from authors","China","2020"
"Zhao, L., Lu, Y., Yang, F., Liang, J., & Deng, Y., 2020. Transgenerational biochemical effects of seawater acidification on the Manila clam (Ruditapes philippinarum). Science of the Total Environment 710:136420","doi:10.1016/j.scitotenv.2019.136420","","Not included","No answer from authors","China","2020"
"Zhao, L., Milano, S., Tanaka, K., Liang, J., Deng, Y., Yang, F. et al., 2020. Trace elemental alterations of bivalve shells following transgenerational exposure to ocean acidification: implications for geographical traceability and environmental reconstruction. Science of the Total Environment 705:135501","doi:10.1016/j.scitotenv.2019.135501","","Not included","No answer from authors","China","2020"
"Zhao, X., Guo, C., Han, Y., Che, Z., Wang, Y., Wang, X. et al., 2017. Ocean acidification decreases mussel byssal attachment strength and induces molecular byssal responses. Marine Ecology Progress Series 565:67-77","doi:10.3354/meps11992","","Not included","No answer from authors","China","2017"
"Zheng, X., Kuo, F., Pan, K., Huang, H., & Lin, R., 2019. Different calcification responses of two hermatypic corals to CO2-driven ocean acidification. Environmental Science and Pollution Research 26:30596-30602","doi:10.1007/s11356-018-1376-9","","Not included","No answer from authors","China","2019"
"Zhong, J., Guo, Y., Liang, Z., Huang, Q., Lu, H., Pan, J. et al., 2021. Adaptation of a marine diatom to ocean acidification and warming reveals constraints and trade-offs. Science of the Total Environment 771:145167","doi:10.1016/j.scitotenv.2021.145167","","Not included","No answer from authors","China","2021"
"Zhou, G., Cai, L., Yuan, T., Tian, R., Tong, H., Zhang, W. et al., 2017. Microbiome dynamics in early life stages of the scleractinian coral Acropora gemmifera in response to elevated pCO2. Environmental Microbiology 19:3342-3352","doi:10.1111/1462-2920.13840","","Not included","No answer from authors","China","2017"
"Zhou, G., Yuan, T., Cai, L., Zhang, W., Tian, R., Tong, H. et al., 2016. Changes in microbial communities, photosynthesis and calcification of the coral Acropora gemmifera in response to ocean acidification. Scientific Reports 6:35971","doi:10.1038/srep35971","","Not included","No answer from authors","China","2016"
"Zhu, X., Liao, H., Yang, Z., Peng, C., Lu, W., Xing, Q. et al., 2020. Genome-wide identification, characterization of RLR genes in Yesso scallop (Patinopecten yessoensis) and functional regulations in responses to ocean acidification. Fish & Shellfish Immunology 98:488-498","doi:10.1016/j.fsi.2020.01.036","","Not included","No answer from authors","China","2020"
"Zhu, Z., Qu, P., Gale, J., Fu, F., & Hutchins, D. A., 2017. Individual and interactive effects of warming and CO2 on Pseudo-nitzschia subcurvata and Phaeocystis antarctica, two dominant phytoplankton from the Ross Sea, Antarctica. Biogeosciences 14:5281-5295","doi:10.5194/bg-14-5281-2017","","Not included","No answer from authors","USA","2017"
"Zittier, Z. M. C., Bock, C., Sukhotin, A. A., Häfker, N. S., & Pörtner, H. O., 2018. Impact of ocean acidification on thermal tolerance and acid–base regulation of Mytilus edulis from the White Sea. Polar Biology 41:2261-2273","doi:10.1007/s00300-018-2362-x","","Not included","No answer from authors","EU-Germany","2018"
"Ziveri, P., Thoms, S., Probert, I., Geisen, M., & Langer, G., 2012. A universal carbonate ion effect on stable oxygen isotope ratios in unicellular planktonic calcifying organisms. Biogeosciences 9:1025-1032","doi:10.5194/bg-9-1025-2012","","Not included","No answer from authors","EU-Spain","2012"
"Zweng, R. C., Koch, M. S., & Bowes, G., 2018. The role of irradiance and C-use strategies in tropical macroalgae photosynthetic response to ocean acidification. Scientific Reports 8:9479","doi:10.1038/s41598-018-27333-0","","Not included","No answer from authors","USA","2018"
"Broecker, W. S., Langdon, C., & Takahashi, T., 2001. Factors controlling the rate of CaCO3 precipitation on Great Bahama Bank. Global Biogeochemical Cycles 15:589-596","doi:10.1029/2000GB001350","","Not included","Data lost","USA","2001"
"Burkhardt, S., Amoroso, G., Riebesell, U., & Sültemeyer, D., 2001. CO2 and HCO3- uptake in marine diatoms acclimated to different CO2 concentrations. Limnology and Oceanography 46:1378-1391","doi:10.4319/lo.2001.46.6.1378","","Not included","Data lost","EU-Germany","2001"
"Burkhardt, S., & Riebesell, U., 1997. CO2 availability affects elemental composition (C:N:P) of the marine diatom Skeletonema costatum. Marine Ecology Progress Series 155:67-76","doi:10.3354/meps155067","","Not included","Data lost","EU-Germany","1997"
"Burkhardt, S., Riebesell, U., & Zondervan, I., 1999. Effects of growth rate, CO2 concentration, and cell size on the stable carbon isotope fractionation in marine phytoplankton. Geochimica et Cosmochimica Acta 63:3729-3741","doi:10.1016/S0016-7037(99)00217-3","","Not included","Data lost","EU-Germany","1999"
"Burkhardt, S., Zondervan, I., & Riebesell, U., 1999. Effect of CO2 concentration on C:N:P ratio in marine phytoplankton: a species comparison. Limnology and Oceanography 44:683-690","doi:10.4319/lo.1999.44.3.0683","","Not included","Data lost","EU-Germany","1999"
"Chen, X., & Gao, K., 2003. Effect of CO2 concentrations on the activity of photosynthetic CO2 fixation and extracelluar carbonic anhydrase in the marine diatom Skeletonema costatum. Chinese Science Bulletin 48:2616-2620","doi:10.1360/03wc0084","","Not included","Data lost","China","2003"
"Dionísio, G., Faleiro, F., Bispo, R., Lopes, A. R., Cruz, S., Paula, J. R. et al., 2018. Distinct bleaching resilience of photosynthetic plastid-bearing mollusks under thermal stress and high CO2 conditions. Frontiers in Physiology 9:1675","doi:10.3389/fphys.2018.01675","","Not included","Data lost","EU-Portugal","2018"
"Foo, S. A., Dworjanyn, S. A., Poore, A. G. B., & Byrne, M., 2012. Adaptive capacity of the habitat modifying sea urchin Centrostephanus rodgersii to ocean warming and ocean acidification: performance of early embryos. PLoS ONE 7:e42497","doi:10.1371/journal.pone.0042497","","Not included","Data lost","Australia","2012"
"Gao, K., Aruga, Y., Asada, K., Ishihara, T., Akano, T., & Kiyohara, M., 1991. Enhanced growth of the red alga Porphyra yezoensis Ueda in high CO2 concentrations. Journal of Applied Phycology 3:355-362","doi:10.1007/BF02392889","","Not included","Data lost","China","1991"
"Gao, K., Ji, Y., & Aruga, Y., 1999. Relationship of CO2 concentrations to photosynthesis of intertidal macroalgae during emersion. Hydrobiologia 174:170-180","doi:10.1023/a:1017072303189","","Not included","Data lost","China","1999"
"Hoshijima, U., Wong, J. M., & Hofmann, G. E., 2017. Additive effects of pCO2 and temperature on respiration rates of the Antarctic pteropod Limacina helicina antarctica. Conservation Physiology 5:cox064","doi:10.1093/conphys/cox064","","Not included","Data lost","USA","2017"
"Riebesell, U., Wolf-Gladrow, D. A., & Smetacek, V., 1993. Carbon dioxide limitation of marine phytoplankton growth rates. Nature 361:249-251","doi:10.1038/361249a0","","Not included","Data lost","EU-Germany","1993"
"Rost, B., Riebesell, U., Burkhardt, S., & Sültemeyer, D., 2003. Carbon acquisition of bloom-forming marine phytoplankton. Limnology and Oceanography 48:55-67","doi:10.4319/lo.2003.48.1.0055","","Not included","Data lost","EU-Germany","2003"
"Rost, B., Riebesell, U., & Sültemeyer, D., 2006. Carbon acquisition of marine phytoplankton: effect of photoperiod length. Limnology and Oceanography 51:12-20","doi:10.4319/lo.2006.51.1.0012","","Not included","Data lost","EU-Germany","2006"
"Rost, B., Richter, K.-U., Riebsesell, U., & Hansen, P. J., 2006. Inorganic carbon acquisition in red tide dinoflagellates. Plant, Cell and Environment 29:810-822","doi:10.1111/j.1365-3040.2005.01450.x","","Not included","Data lost","EU-Germany","2006"
"Seibel, B. A., Maas, A. E., & Dierssen, H. M., 2012. Energetic plasticity underlies a variable response to ocean acidification in the pteropod, Limacina helicina antarctica. PLoS ONE 7:e30464","doi:10.1371/journal.pone.0030464","","Not included","Data lost","USA","2012"
"Ab Lah, R., Kelaher, B. P., Bucher, D., & Benkendorff, K., 2018. Ocean warming and acidification affect the nutritional quality of the commercially-harvested turbinid snail Turbo militaris. Marine Environmental Research 141:100-108","doi:10.1016/j.marenvres.2018.08.009","10.1594/PANGAEA.902088","Included","","Malaysia","2018"
"Abarca-Ortega, A., Muñoz-Moya, E., Pacheco Alarcón, M., García-Herrera, C. M., Celentano, D. J., Lagos, N. A. et al., 2022. Biomechanical characterization of scallop shells exposed to ocean acidification and warming. Frontiers in Bioengineering and Biotechnology 9:813537","doi:10.3389/fbioe.2021.813537","10.1594/PANGAEA.945534","Included","","Chile","2022"
"Aberle, N., Schulz, K. G., Stuhr, A., Malzahn, A. M., Ludwig, A., & Riebesell, U., 2013. High tolerance of microzooplankton to ocean acidification in an Arctic coastal plankton community. Biogeosciences 10:1471-1481","doi:10.5194/bg-10-1471-2013","10.1594/PANGAEA.832403","Included","","EU-Germany","2013"
"Agostini, S., Fujimura, H., Higuchi, T., Yuyama, I., Casareto, B. E., Suzuki, Y. et al., 2013. The effects of thermal and high-CO2 stresses on the metabolism and surrounding microenvironment of the coral Galaxea fascicularis. Comptes Rendus Biologies","doi:10.1016/j.crvi.2013.07.003","10.1594/PANGAEA.835319","Included","","Japan","2013"
"Agostini, S., Harvey, B. P., Milazzo, M., Wada, S., Kon, K., Floc’h, N. et al., 2021. Simplification, not “tropicalization”, of temperate marine ecosystems under ocean warming and acidification. Global Change Biology 27:4771-4784","doi:10.1111/gcb.15749","10.1594/PANGAEA.944056","Included","","Japan","2021"
"Agostini, S., Harvey, B. P., Wada, S., Kon, K., Milazzo, M., Inaba, K. et al., 2018. Ocean acidification drives community shifts towards simplified non-calcified habitats in a subtropical−temperate transition zone. Scientific Reports 8:11354","doi:10.1038/s41598-018-29251-7","10.1594/PANGAEA.906023","Included","","Japan","2018"
"Aguilera, V. M., 2020. pH and other upwelling hydrographic drivers in regulating copepod reproduction during the 2015 El Niño event: a follow-up study. Estuarine, Coastal and Shelf Science 234:106640","doi:10.1016/j.ecss.2020.106640","10.1594/PANGAEA.925454","Included","","Chile","2020"
"Aguilera, V. M., Escribano, R., Vargas, C. A., & González, M. T., 2019. Upwelling modulation of functional traits of a dominant planktonic grazer during “warm-acid” El Niño 2015 in a year-round upwelling area of Humboldt Current. PLoS ONE 14:e0209823","doi:10.1371/journal.pone.0209823","10.1594/PANGAEA.925450","Included","","Chile","2019"
"Aguilera, V. M., Vargas, C. A., & Dam, H. G., 2020. Antagonistic interplay between pH and food resources affects copepod traits and performance in a year-round upwelling system. Scientific Reports 10:62","doi:10.1038/s41598-019-56621-6","10.1594/PANGAEA.925337","Included","","Chile","2020"
"Aguilera, V. M., Vargas, C. A., Lardies, M. A., & Poupin, M. J., 2016. Adaptive variability to low-pH river discharges in and stress responses to high pCO2 conditions. Marine Ecology 37:215-226","doi:10.1111/maec.12282","10.1594/PANGAEA.848689","Included","","Chile","2016"
"Aichelman, H. E., Bove, C. B., Castillo, K. D., Boulton, J. M., Knowlton, A. C., Nieves, O. C. et al., 2021. Exposure duration modulates the response of Caribbean corals to global change stressors. Limnology and Oceanography 66:3100-3115","doi:10.1002/lno.11863","10.1594/PANGAEA.939041","Included","","USA","2021"
"Akita, L. G., Andersson, A., Smeti, H., & Quieroz, T., 2021. Short-term response of flat tree oyster, Isognomon alatus to CO2 acidified seawater in laboratory and field experiments. African Journal of Marine Science 15:27-52","doi:10.5897/AJEST2020.2897","10.1594/PANGAEA.933733","Included","","Angola","2021"
"Al-Janabi, B., Kruse, I., Graiff, A., Karsten, U., & Wahl, M., 2016. Genotypic variation influences tolerance to warming and acidification of early life-stage Fucus vesiculosus L. (Phaeophyceae) in a seasonally fluctuating environment. Marine Biology 163:14","doi:10.1007/s00227-015-2804-8","10.1594/PANGAEA.956119","Included","","EU-Germany","2016"
"Al-Janabi, B., Wahl, M., Karsten, U., Graiff, A., & Kruse, I., 2019. Sensitivities to global change drivers may correlate positively or negatively in a foundational marine macroalga. Scientific Reports 9:14653","doi:10.1038/s41598-019-51099-8","10.1594/PANGAEA.960596","Included","","EU-Germany","2019"
"Albright, R., Mason, B., & Langdon, C., 2008. Effect of aragonite saturation state on settlement and post-settlement growth of Porites astreoides larvae. Coral Reefs 27:485-490","doi:10.1007/s00338-008-0392-5","10.1594/PANGAEA.726961","Included","","USA","2008"
"Albright, R., Takeshita, Y., Koweek, D. A., Ninokawa, A., Wolfe, K., Rivlin, T. et al., 2018. Carbon dioxide addition to coral reef waters suppresses net community calcification. Nature 555:516-519","doi:10.1038/nature25968","10.1594/PANGAEA.924121","Included","","USA","2018"
"Alexandre, A., Silva, J., Buapet, P., Björk, M., & Santos, R., 2012. Effects of CO2 enrichment on photosynthesis, growth, and nitrogen metabolism of the seagrass Zostera noltii. Ecology and Evolution 2:2625-2635","doi:10.1002/ece3.333","10.1594/PANGAEA.831352","Included","","EU-Portugal","2012"
"Algueró-Muñiz, M., Horn, H. G., Alvarez-Fernandez, S., Spisla, C., Aberle, N., Bach, L. T. et al., 2019. Analyzing the impacts of elevated-CO2 levels on the development of a subtropical zooplankton community during oligotrophic conditions and simulated upwelling. Frontiers in Marine Science 6:61","doi:10.3389/fmars.2019.00061","10.1594/PANGAEA.931217","Included","","EU-Germany","2019"
"Algueró-Muñiz, M., Meunier, C. L., Holst, S., Alvarez-Fernandez, S., & Boersma, M., 2016. Withstanding multiple stressors: ephyrae of the moon jellyfish (Aurelia aurita, Scyphozoa) in a high-temperature, high-CO2 and low-oxygen environment. Marine Biology 163:185","doi:10.1007/s00227-016-2958-z","10.1594/PANGAEA.933390","Included","","EU-Germany","2016"
"Allan, B. J., Miller, G. M., McCormick, M. I., Domenici, P., & Munday, P. L., 2014. Parental effects improve escape performance of juvenile reef fish in a high-CO2 world. Proceedings of the Royal Society B: Biological Sciences 281:20132179","doi:10.1098/rspb.2013.2179","10.1594/PANGAEA.835712","Included","","Australia","2014"
"Allan, B. J. M., Domenici, P., McCormick, M. I., Watson, S.-A., & Munday, P. L., 2013. Elevated CO2 affects predator-prey interactions through altered performance. PLoS ONE 8:e58520","doi:10.1371/journal.pone.0058520","10.1594/PANGAEA.830803","Included","","Australia","2013"
"Allan, B. J. M., Domenici, P., Watson, S. A., Munday, P. L., & McCormick, M. I., 2017. Warming has a greater effect than elevated CO2 on predator-prey interactions in coral reef fish. Proceedings of the Royal Society B: Biological Sciences 284","doi:10.1098/rspb.2017.0784","10.1594/PANGAEA.892529","Included","","Australia","2017"
"Allen, K. A., Hönisch, B., Eggins, S. M., Yu, J., Spero, H. J., & Elderfield, H., 2011. Controls on boron incorporation in cultured tests of the planktic foraminifer Orbulina universa. Earth and Planetary Science Letters 309:291-301","doi:10.1016/j.epsl.2011.07.010","10.1594/PANGAEA.770067","Included","","USA","2011"
"Allgaier, M., Riebesell, U., Vogt, M., Thyrhaug, R., & Grossart, H.-P., 2008. Coupling of heterotrophic bacteria to phytoplankton bloom development at different pCO2 levels: a mesocosm study. Biogeosciences 5:1007-1022.","doi:10.5194/bg-5-1007-2008","10.1594/PANGAEA.726955","Included","","EU-Germany","2008"
"Allison, N., Cohen, I., Finch, A. A., & Erez, J., 2011. Controls on Sr/Ca and Mg/Ca in scleractinian corals: The effects of Ca-ATPase and transcellular Ca channels on skeletal chemistry. Geochimica et Cosmochimica Acta 75:6350-6360","doi:10.1016/j.gca.2011.08.012","10.1594/PANGAEA.774781","Included","","EU-UK","2011"
"Allison, N., Cole, C., Hintz, C., Hintz, K., Rae, J., & Finch, A., 2018. The effect of ocean acidification on tropical coral calcification: Insights from calcification fluid DIC chemistry. Chemical Geology in press","doi:10.1016/j.chemgeo.2018.09.004","10.1594/PANGAEA.959560","Included","","EU-UK","2018"
"Allison, N., Cole, C., Hintz, C., Hintz, K., Rae, J., & Finch, A., 2021. Resolving the interactions of ocean acidification and temperature on coral calcification media pH. Coral Reefs 40:1807-1818","doi:10.1007/s00338-021-02170-2","10.1594/PANGAEA.939992","Included","","EU-UK","2021"
"Allison, N., Ross, P., Brasier, A., Cieminska, N., Lopez Martin, N., Cole, C. et al., 2022. Effects of seawater pCO2 on the skeletal morphology of massive Porites spp. corals. Marine Biology 169:73","doi:10.1007/s00227-022-04060-9","10.1594/PANGAEA.946138","Included","","EU-UK","2022"
"Almeida, Â., Calisto, V., Esteves, V. I., Schneider, R. J., Soares, A. M. V. M., & Freitas, R., 2022. Responses of Ruditapes philippinarum to contamination by pharmaceutical drugs under ocean acidification scenario. Science of the Total Environment 824:153591","doi:10.1016/j.scitotenv.2022.153591","10.1594/PANGAEA.944572","Included","","EU-Portugal","2022"
"Almeida, Â., Freitas, R., Calisto, V., Esteves, V. I., Schneider, R. J., Soares, A. M. V. M. et al., 2018. Effects of carbamazepine and cetirizine under an ocean acidification scenario on the biochemical and transcriptome responses of the clam Ruditapes philippinarum. Environmental Pollution 235:857-868","doi:10.1016/j.envpol.2017.12.121","10.1594/PANGAEA.944568","Included","","EU-Portugal","2018"
"Alsterberg, C., Eklöf, J. S., Gamfeldt, L., Havenhand, J. N., & Sundbäck, K., 2013. Consumers mediate the effects of experimental ocean acidification and warming on primary producers. Proceedings of the National Academy of Sciences USA 110:8603-8608","doi:10.1073/pnas.1303797110","10.1594/PANGAEA.830714","Included","","EU-Sweden","2013"
"Andersen, S., Grefsrud, E. S., & Harboe, T., 2013. Effect of increased CO2 level on early shell development in great scallop (Pecten maximus Lamarck) larvae. Biogeosciences 10:6161-6184","doi:10.5194/bg-10-6161-2013","10.1594/PANGAEA.833950","Included","","EU-Norway","2013"
"Andersen, S., Grefsrud, E. S., & Harboe, T., 2017. Sensitivity towards elevated pCO2 in great scallop (Pecten maximus Lamarck) embryos and fed larvae. Biogeosciences 14:529-539","doi:10.5194/bg-14-529-2017-supplement","10.1594/PANGAEA.880379","Included","","EU-Norway","2017"
"Andersson, A. J., Kuffner, I. B., Mackenzie, F. T., Jokiel, P. L., Rodgers, K. S., & Tan, A., 2009. Net loss of CaCO3 from a subtropical calcifying community due to seawater acidification: mesocosm-scale experimental evidence. Biogeosciences 6:1811-1823","doi:10.5194/bg-6-1811-2009","10.1594/PANGAEA.727545","Included","","EU-UK (Bermuda)","2009"
"Andersson, A. J., Mackenzie, F. T., & Bates, N. R., 2008. Life on the margin: implications of ocean acidification on Mg-calcite, high latitude and cold water marine calcifiers. Marine Ecology Progress Series 373:265-273","doi:10.3354/meps07639","10.1594/PANGAEA.727540","Included","","EU-UK (Bermuda)","2008"
"Anlauf, H., D’Croz, L., & O’Dea, A., 2011. A corrosive concoction: the combined effects of ocean warming and acidification on the early growth of a stony coral are multiplicative. Journal of Experimental Marine Biology and Ecology 397:13-20","doi:10.1016/j.jembe.2010.11.009","10.1594/PANGAEA.761769","Included","","Panama","2011"
"Anthony, K. R. N., Kline, D. L., Diaz-Pulido, G., Dove, S., & Hoegh-Guldberg, O., 2008. Ocean acidification causes bleaching and productivity loss in coral reef builders. Proceedings of the National Academy of Sciences USA 105:17442-17446","doi:10.1073pnas.0804478105","10.1594/PANGAEA.727744","Included","","Australia","2008"
"Apostolaki, E. T., Vizzini, S., Hendriks, I., & Olsen, Y. S., 2014. Seagrass ecosystem response to long-term high CO2 in a Mediterranean volcanic vent. Marine Environmental Research 99:9-15","doi:10.1016/j.marenvres.2014.05.008","10.1594/PANGAEA.833844","Included","","EU-Greece","2014"
"Appelhans, Y. S., Thomsen, J., Opitz, S., Pansch, C., Melzner, F., & Wahl, M., 2014. Juvenile sea stars exposed to acidification decrease feeding and growth with no acclimation potential. Marine Ecology Progress Series 509:227-239","doi:10.3354/meps10884","10.1594/PANGAEA.836847","Included","","EU-Germany","2014"
"Archer, S. D., Kimmance, S. A., Stephens, J. A., Hopkins, F. E., Bellerby, R. G. J., Schulz, K. G. et al., 2013. Contrasting responses of DMS and DMSP to ocean acidification in Arctic waters. Biogeosciences 10:1893-1908","doi:10.5194/bg-10-1893-2013","10.1594/PANGAEA.762307","Included","","EU-UK","2013"
"Armstrong, E. J., Watson, S. A., Stillman, J. H., & Calosi, P., 2022. Elevated temperature and carbon dioxide levels alter growth rates and shell composition in the fluted giant clam, Tridacna squamosa. Scientific Reports 12:11034","doi:10.1038/s41598-022-14503-4","10.1594/PANGAEA.951251","Included","","USA","2022"
"Arnberg, M., Calosi, P., Spicer, J. I., Taban, I. C., Bamber, S. D., Westerlund, S. et al., 2018. Effects of oil and global environmental drivers on two keystone marine invertebrates. Scientific Reports 8:17380","doi:10.1038/s41598-018-35623-w","10.1594/PANGAEA.914668","Included","","EU-Norway","2018"
"Arnold, T., Freundlich, G., Weilnau, T., Verdi, A., & Tibbetts, I. R., 2014. Impacts of groundwater discharge at Myora Springs (North Stradbroke Island, Australia) on the phenolic metabolism of eelgrass, Zostera muelleri, and grazing by the juvenile rabbitfish, Siganus fuscescens. PLoS ONE 9:e104738","doi:10.1371/journal.pone.0104738","10.1594/PANGAEA.834082","Included","","USA","2014"
"Arnold, T., Mealey, C., Leahey, H., Miller, A. W., Hall-Spencer, J. M., Milazzo, M. et al., 2012. Ocean acidification and the loss of phenolic substances in marine plants. PLoS ONE 7:e35107","doi:10.1371/journal.pone.0035107","10.1594/PANGAEA.829532","Included","","USA","2012"
"Arnosti, C., Grossart, H. P., Mühling, M., Joint, I., & Passow, U., 2011. Dynamics of extracellular enzyme activities in seawater under changed atmospheric pCO2: a mesocosm investigation. Aquatic Microbial Ecology 64:285-298","doi:10.3354/ame01522","10.1594/PANGAEA.778190","Included","","USA","2011"
"Asnaghi, V., Chiantore, M., Mangialajo, L., Gazeau, F., Francour, P., Alliouane, S. et al., 2013. Cascading effects of ocean acidification in a rocky subtidal community. PLoS ONE 8:e61978","doi:10.1371/journal.pone.0061978","10.1594/PANGAEA.830737","Included","","EU-Italy","2013"
"Asnaghi, V., Collard, M., Mangialajo, L., Gattuso, J.-P., & Dubois, P., 2019. Bottom-up effects on biomechanical properties of the skeletal plates of the sea urchin Paracentrotus lividus (Lamarck, 1816) in an acidified ocean scenario. Marine Environmental Research 144:56-61","doi:10.1016/j.marenvres.2018.12.002","10.1594/PANGAEA.960351","Included","","EU-Italy","2019"
"Asnaghi, V., Mangialajo, L., Gattuso, J.-P., Francour, P., Privitera, D., & Chiantore, M., 2014. Effects of ocean acidification and diet on thickness and carbonate elemental composition of the test of juvenile sea urchins. Marine Environmental Research 93:78-84","doi:10.1016/j.marenvres.2013.08.005","10.1594/PANGAEA.833328","Included","","EU-Italy","2014"
"Asnicar, D., Novoa-Abelleira, A., Minichino, R., Badocco, D., Pastore, P., Finos, L. et al., 2021. When site matters: metabolic and behavioural responses of adult sea urchins from different environments during long-term exposure to seawater acidification. Marine Environmental Research 105372","doi:10.1016/j.marenvres.2021.105372","10.1594/PANGAEA.939892","Included","","EU-Italy","2021"
"Asplund, M. E., Baden, S. P., Russ, S., Ellis, R. P., Gong, N., & Hernroth, B. E., 2014. Ocean acidification and host-pathogen interactions: blue mussels, Mytilus edulis, encountering Vibrio tubiashii. Environmental Microbiology 16:1029-1039","doi:10.1111/1462-2920.12307","10.1594/PANGAEA.941896","Included","","EU-Sweden","2014"
"Augusto, A., Ramaglia, A. C., & Mantoan, P. V., 2018. Effect of carbon dioxide-induced water acidification and seasonality on the physiology of the sea-bob shrimp Xiphopenaeus kroyeri (Decapoda, Penaeidae). Crustaceana 91:947-960","doi:10.1163/15685403-00003807","10.1594/PANGAEA.959540","Included","","Brazil","2018"
"Auzoux-Bordenave, S., Chevret, S., Badou, A., Martin, S., Di Giglio, S., & Dubois, P., 2021. Acid–base balance in the hæmolymph of European abalone (Haliotis tuberculata) exposed to CO2-induced ocean acidification. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 259:110996","doi:10.1016/j.cbpa.2021.110996","10.1594/PANGAEA.932922","Included","","EU-France","2021"
"Bach, L. T., Mackinder, L. C. M., Schulz, K. G., Wheeler, G., Schroeder, D. C., Brownlee, C. et al., 2013. Dissecting the impact of CO2 and pH on the mechanisms of photosynthesis and calcification in the coccolithophore Emiliania huxleyi. New Phytologist 199:121-134","doi:10.1111/nph.12225","10.1594/PANGAEA.830627","Included","","EU-Germany","2013"
"Bach, L. T., Riebesell, U., & Schulz, K. G., 2011. Distinguishing between the effects of ocean acidification and ocean carbonation in the coccolithophore Emiliania huxleyi. Limnology and Oceanography 56:2040-2050","doi:10.4319/lo.2011.56.6.2040","10.1594/PANGAEA.771288","Included","","EU-Germany","2011"
